tag,count,total,ratio
gender,6366,9027,0.705217680292456
bearing,880,9027,0.09748532181234075
profession,607,9027,0.06724271629555777
molka,462,9027,0.0511797939514789
metoo,288,9027,0.031904287138584245
abuse,198,9027,0.02193419740777667
demonize,165,9027,0.018278497839813893
trivialize,49,9027,0.005428159964550792
porn,12,9027,0.0013293452974410102
