tag,count,total,ratio
gender,6316,8920,0.7080717488789238
bearing,820,8920,0.09192825112107623
profession,517,8920,0.05795964125560538
molka,458,8920,0.05134529147982063
metoo,285,8920,0.03195067264573991
abuse,189,8920,0.02118834080717489
demonize,175,8920,0.01961883408071749
neutral,96,8920,0.010762331838565023
trivialize,53,8920,0.00594170403587444
porn,11,8920,0.001233183856502242
